AAK1: [74,176]
ABL1(E255K): [308]
ABL1(F317I): [308]
ABL1(F317I)p: [308]
ABL1(F317L): [308]
ABL1(F317L)p: [308]
ABL1(H396P): [308]
ABL1(H396P)p: [308]
ABL1(M351T): [308]
ABL1(Q252H): [308]
ABL1(Q252H)p: [308]
ABL1(T315I): [308]
ABL1(T315I)p: [308]
ABL1(Y253F): [308]
ABL1: [308]
ABL1p: [308]
ABL2: [302]
ACVR1: [235,336]
ACVR1B: [234,335]
ACVR2A: [219,322]
ACVR2B: [217,321]
ACVRL1: [229,330]
ADCK3: [340,358,488,493,507]
ADCK4: [219,237,367,372,386]
AKT1: [53,86,179,234,278,292]
AKT2: [188]
AKT3: [187]
ALK: [1124,1150,1199]
AMPK-alpha1: [56,150]
AMPK-alpha2: [45,139]
ANKK1: [51,145]
ARK5: [84,178]
ASK1: [709,803]
ASK2: [677,771]
AURKA: [143,162,256,274]
AURKB: [106,200]
AURKC: [72,166]
AXL: [567,672]
BIKE: [79,180]
BLK: [269]
BMPR1A: [261,362]
BMPR1B: [231,332]
BMPR2: [230,333,351]
BMX: [445,536]
BRAF: [483,576]
BRAF(V600E): [483,576]
BRK: [219,312]
BRSK1: [63,156]
BRSK2: [48,141]
BTK: [26,28,39,53,430]
CAMK1: [49,141]
CAMK1D: [52,144]
CAMK1G: [52,143]
CAMK2A: [42,135]
CAMK2B: [43,136]
CAMK2D: [43,136]
CAMK2G: [43,136]
CAMK4: [75,164]
CAMKK1: [157,275]
CAMKK2: [194,312]
CASK: [41,141]
CDC2L1: (563)
CDC2L2: (261)
CDC2L5: (208)
CDK11: [52,151]
CDK2: [33,86,127,145]
CDK3: [33,127]
CDK4-cyclinD1: [35,140]
CDK4-cyclinD3: [35,140]
CDK5: [33,126]
CDK7: [41,137]
CDK8: [52,151]
CDK9: [48,149,167]
CDKL1: [34]
CDKL2: [33,126]
CDKL3: [33,125]
CDKL5: [43]
CHEK1: [38,130]
CHEK2: [249,347,368]
CIT: [126,221]
CLK1: [191,288]
CLK2: [193,290]
CLK3: [334,431]
CLK4: [189,286]
CSF1R: [616,778]
CSK: [222,314]
CSNK1A1: [46,136]
CSNK1A1L: [46,136]
CSNK1D: [38,128]
CSNK1E: [38,128]
CSNK1G1: [73,164]
CSNK1G2: [75,165]
CSNK1G3: [72,117,119,162]
CSNK2A1: [68,156]
CSNK2A2: [69,157]
CTK: [262,352]
DAPK1: [42,100,139,161]
DAPK2: [52,149]
DAPK3: [42,94,96,139]
DCAMKL1: [419,511]
DCAMKL2: [423,515]
DCAMKL3: [385,477]
DDR1: [655,766]
DDR2: [608,710]
DLK: [152,236]
DMPK: [100,195]
DMPK2: [100,195]
DRAK1: [90,186]
DRAK2: [62,158]
DYRK1A: [188,287]
DYRK1B: [140,239]
DYRK2: [251,348]
EGFR: [745,837,855,1016]
EGFR(E746A750del): [745,837,855,1016]
EGFR(G719C): [745,837,855,1016]
EGFR(G719S): [745,837,855,1016]
EGFR(L747E749del): [745,837,855,1016]
EGFR(L747S752del): [745,837,855,1016]
EGFR(L747T751del): [745,837,855,1016]
EGFR(L858R): [745,837,855,1016]
EGFR(L858RT790M): [745,837,855,1016]
EGFR(L861Q): [745,837,855,1016]
EGFR(S752I759del): [745,837,855,1016]
EGFR(T790M): [745,837,855,1016]
EIF2AK1: [196,442]
EPHA1: [656,749]
EPHA2: [646,739]
EPHA3: [653,746]
EPHA4: [653,746]
EPHA5: [721,814]
EPHA6: (227,480)
EPHA7: [665,758]
EPHA8: [667,760]
EPHB1: [651,744]
