O00141: [127,222]
O00311: [90,177]
O00329: (61,233,398,586,886)
O00418: (221)
O00444: [41,136]
O14757: [38,130]
O14920: [44,145]
O14965: [143,162,256,274]
O15075: [419,511]
O15111: [44,144]
O15264: [54,150]
O15530: [111,166,205,209,223]
O43293: [42,94,96,139]
O43741: (227)
O43781: [238,335]
O60285: [84,178]
O60674: [882,976]
O75116: [121,214]
O75582: [81,177,455,544]
O75676: [65,161,440,530]
O94806: [605,699]
O95819: [54,153]
O96013: [350,440]
O96017: [249,347,368]
P00519: [271,363]
P00533: [745,837,855,1016]
P04049: [375,468]
P04626: [753,845]
P04629: [544,650]
P05129: [380,480]
P05771: [371,466]
P06213: [1033,1057,1159,1177]
P06239: [273,364]
P06241: [299,390]
P06493: [33,128]
P07332: [590,683]
P07333: [616,778]
P07947: [305,396]
P07948: [275,367]
P07949: [758,874]
P08069: [1033,1135]
P08581: [1003,1110,1204]
P08631: [290,381]
P08922: [1980,2079]
P09619: [634,826]
P09769: [291,382]
P10721: [623,792,796]
P11309: [67,121,128,167]
P11362: [514,568,623,627,641]
P11802: [35,140]
P12931: [298,389]
P15056: [483,576]
P15735: [53,153]
P16234: [627,818]
P16591: [591,684]
P17252: [195,245,368,463]
P17612: [73,167]
P17948: [861,1022]
P19784: [69,157]
P21802: [517,571,626]
P22455: [503,612]
P22607: [508,617]
P22612: [73,167]
P22694: [73,167]
P23443: [123,218]
P23458: [908,1003]
P24723: [384,479]
P24941: [33,86,127,145]
P27361: [71,166]
P27448: [85,178]
P28482: [54,54,108,149,167]
P29317: [646,739]
P29323: [653,746]
P29376: [544,643]
P29597: [930,1023]
P30291: [328,426]
P30530: [567,672]
P31749: [53,86,179,234,274,278,292]
P31751: [181,200,232,275,282,293]
P34947: [215,311]
P35916: [879,1037]
P35968: [868,1028]
P36507: [101,194]
P36888: [644,811]
P41240: [222,314]
P41279: [167,253]
P41743: [283,378]
P42336: (61,238,409,606,908)
P42338: (71,240,412,613,913)
P42345: (1682,2313)
P42679: [262,352]
P42684: [317,409]
P42685: [262,354]
P43403: [369,461]
P43405: [402,494]
P45983: [55,151]
P45984: [55,151]
P48729: [46,136]
P48730: [38,128]
P48736: (88,268,439,632,939)
P49137: [93,186]
P49336: [52,151]
P49674: [38,128]
P49759: [191,288]
P49760: [193,290]
P49840: [148,244]
P49841: [85,181]
P50613: [41,137]
P50750: [48,149,167]
P51451: [269,360]
P51617: [239,340,358]
P51812: [100,193,451,539]
P51813: [445,536]
P51817: [78,172]
P51955: [37,141]
P51957: [35,131]
P52333: [855,949]
P52564: [82,179]
P53350: [176,194]
P53667: [368,460]
P53778: [56,153]
P53779: [93,189]
P54619: [70,130,151,152,170,200,205,269,277,298]
P54646: [45,139]
P54760: [647,740]
P67870: (109,114,137,140)
P68400: [68,156]
P78368: [75,165]
P78527: (2020,2021)
P80192: [171,268]
Q00534: [43,143]
Q00535: [33,126]
Q02156: [437,532]
Q02750: [97,190,194,208,212]
Q02763: [855,964]
Q02779: [125,222] 
Q04759: [409,504]
Q04771: [235,336]
Q04912: [1114,1208,1212]
Q05397: [454,546]
Q05513: [281,376]
Q05655: [378,473]
Q06187: [26,28,39,53,430,521,542]
Q06418: [550,655]
Q07912: [158,252]
Q08881: [391,482]
Q12851: [45,136]
Q12866: [615,723]
Q13131: [56,150]
Q13153: [299,389]
Q13177: [278,367]
Q13188: [56,146]
Q13237: [347,412,415,482,576]
Q13464: [105,198]
Q13554: [43,136]
Q13555: [43,136]
Q13557: [43,136]
Q13627: [188,287]
Q13882: [219,312]
Q13976: [282,336,390,484]
Q14012: [49,141]
Q14164: [38,135]
Q14289: [457,549]
Q14680: [40,132]
Q15078: (98,99)
Q15118: [318]
Q15139: [512,706]
Q15303: [751,843]
Q15418: [94,187,447,535]
Q15759: [53,71,150]
Q16288: [572,679]
Q16512: [644,740]
Q16513: [686,782]
Q16539: [53,71,148,168]
Q16566: [75,164]
Q16584: [144,241]
Q16620: [572,676]
Q16644: [73,166]
Q5S007: [1906,1994]
Q5VT25: [106,201]
Q7KZI7: [82,175]
Q7L7X3: [57,151]
Q86V86: [69,170]
Q8IU85: [52,144]
Q8IW41: [51,148]
Q8N4C8: [54,153]
Q8NE63: [40,136]
Q8TDC3: [63,156]
Q96GD4: [106,200]
Q96KB5: [64,167]
Q96L34: [[88,181]
Q96PF2: [41,136]
Q96RG2: [1028,1128,1146]
Q96RR4: [194,312]
Q96SB4: [109,213]
Q99683: [709,803]
Q9BUB5: [78,211]
Q9BWU1: [52,151]
Q9BXA7: [41,136]
Q9BZL6: [580,674]
Q9H0K1: [49,142]
Q9H2G2: [63,155]
Q9H2X6: [228,324]
Q9H3Y6: [258,350]
Q9H4B4: [91,185]
Q9HAZ1: [189,286]
Q9HBH9: [113,205,209]
Q9HBY8: [64,159]
Q9HC98: [74,172]
Q9HCP0: [73,164]
Q9NR20: [133,230]
Q9NWZ3: [213,311,329]
Q9NYL2: [45,133]
Q9P1W9: [61,163]
Q9P289: [53,144]
Q9UBE8: [167,264]
Q9UBF8: (136,668)
Q9UBS0: [99,194]
Q9UEE5: [90,186]
Q9UGI9: [225,285,306,307,325,355,360,424,432,453]
Q9UGJ0: [302,362,383,384,402,432,437,501,530]
Q9UHD2: [38,135]
Q9UM73: [1124,1150,1199,1249,1270]
Q9UQM7: [42,135]
Q9Y243: [177,271]
Q9Y463: [140,239]
Q9Y478: (225)
Q9Y4K4: [49,140]
Q9Y6M4: [72,117,119,162]
